equation,operand_1,operation,operand_2,answer
781-523=258,781,-,523,258
814+192=1006,814,+,192,1006
769+142=911,769,+,142,911
442+167=609,442,+,167,609
758+833=1591,758,+,833,1591
435+713=1148,435,+,713,1148
458+508=966,458,+,508,966
353+995=1348,353,+,995,1348
38+22=60,38,+,22,60
813+312=1125,813,+,312,1125
251-8=243,251,-,8,243
29+746=775,29,+,746,775
41+42=83,41,+,42,83
941-885=56,941,-,885,56
943+290=1233,943,+,290,1233
311-2=309,311,-,2,309
117+670=787,117,+,670,787
730-675=55,730,-,675,55
844-122=722,844,-,122,722
438-127=311,438,-,127,311
843-88=755,843,-,88,755
482+237=719,482,+,237,719
296-270=26,296,-,270,26
761+258=1019,761,+,258,1019
716+91=807,716,+,91,807
804-432=372,804,-,432,372
369-128=241,369,-,128,241
630-590=40,630,-,590,40
973-742=231,973,-,742,231
878+247=1125,878,+,247,1125
833+562=1395,833,+,562,1395
914+744=1658,914,+,744,1658
128+138=266,128,+,138,266
720-374=346,720,-,374,346
14+55=69,14,+,55,69
536-476=60,536,-,476,60
771+620=1391,771,+,620,1391
601-574=27,601,-,574,27
906-41=865,906,-,41,865
969-61=908,969,-,61,908
4+19=23,4,+,19,23
350-27=323,350,-,27,323
880+865=1745,880,+,865,1745
633+64=697,633,+,64,697
4+67=71,4,+,67,71
351-132=219,351,-,132,219
177+517=694,177,+,517,694
0+0=0,0,+,0,0
699-150=549,699,-,150,549
773-491=282,773,-,491,282
683+432=1115,683,+,432,1115
984-192=792,984,-,192,792
246-113=133,246,-,113,133
305+243=548,305,+,243,548
386+828=1214,386,+,828,1214
932-257=675,932,-,257,675
755-677=78,755,-,677,78
210+979=1189,210,+,979,1189
106+337=443,106,+,337,443
307+518=825,307,+,518,825
629+320=949,629,+,320,949
386+774=1160,386,+,774,1160
778+78=856,778,+,78,856
766-661=105,766,-,661,105
875-758=117,875,-,758,117
53+34=87,53,+,34,87
30+24=54,30,+,24,54
22-22=0,22,-,22,0
112-37=75,112,-,37,75
693-516=177,693,-,516,177
228-172=56,228,-,172,56
962-848=114,962,-,848,114
412+102=514,412,+,102,514
918-140=778,918,-,140,778
766-756=10,766,-,756,10
675-672=3,675,-,672,3
565+685=1250,565,+,685,1250
774-72=702,774,-,72,702
652+727=1379,652,+,727,1379
330+335=665,330,+,335,665
811-810=1,811,-,810,1
660-578=82,660,-,578,82
389+687=1076,389,+,687,1076
178+745=923,178,+,745,923
778-684=94,778,-,684,94
309+266=575,309,+,266,575
640-61=579,640,-,61,579
831+155=986,831,+,155,986
989-981=8,989,-,981,8
913-195=718,913,-,195,718
703-683=20,703,-,683,20
54+34=88,54,+,34,88
214+172=386,214,+,172,386
289+367=656,289,+,367,656
48+49=97,48,+,49,97
172-31=141,172,-,31,141
359+30=389,359,+,30,389
664+884=1548,664,+,884,1548
846+167=1013,846,+,167,1013
47+105=152,47,+,105,152
115+634=749,115,+,634,749
480-390=90,480,-,390,90
598+420=1018,598,+,420,1018
155-62=93,155,-,62,93
414+295=709,414,+,295,709
579-577=2,579,-,577,2
542+439=981,542,+,439,981
357+797=1154,357,+,797,1154
187+887=1074,187,+,887,1074
102+255=357,102,+,255,357
754-513=241,754,-,513,241
821-737=84,821,-,737,84
471-50=421,471,-,50,421
428+781=1209,428,+,781,1209
320-313=7,320,-,313,7
400+907=1307,400,+,907,1307
344+750=1094,344,+,750,1094
848+741=1589,848,+,741,1589
526-37=489,526,-,37,489
576+87=663,576,+,87,663
638+849=1487,638,+,849,1487
659-652=7,659,-,652,7
783-169=614,783,-,169,614
484-480=4,484,-,480,4
424+577=1001,424,+,577,1001
902-838=64,902,-,838,64
834-340=494,834,-,340,494
653-552=101,653,-,552,101
513+737=1250,513,+,737,1250
487-351=136,487,-,351,136
204+390=594,204,+,390,594
387+838=1225,387,+,838,1225
708-498=210,708,-,498,210
436-428=8,436,-,428,8
253+240=493,253,+,240,493
399+410=809,399,+,410,809
315+6=321,315,+,6,321
798-18=780,798,-,18,780
964-406=558,964,-,406,558
496-12=484,496,-,12,484
680+790=1470,680,+,790,1470
164-37=127,164,-,37,127
997+297=1294,997,+,297,1294
705-18=687,705,-,18,687
783-776=7,783,-,776,7
985-377=608,985,-,377,608
870-177=693,870,-,177,693
503-120=383,503,-,120,383
885+958=1843,885,+,958,1843
822-64=758,822,-,64,758
679+573=1252,679,+,573,1252
212-179=33,212,-,179,33
877-104=773,877,-,104,773
844+397=1241,844,+,397,1241
820+889=1709,820,+,889,1709
737-666=71,737,-,666,71
658-164=494,658,-,164,494
752-747=5,752,-,747,5
759+494=1253,759,+,494,1253
490+217=707,490,+,217,707
830-802=28,830,-,802,28
893-559=334,893,-,559,334
660-607=53,660,-,607,53
31-21=10,31,-,21,10
725-362=363,725,-,362,363
656-647=9,656,-,647,9
450+722=1172,450,+,722,1172
641+374=1015,641,+,374,1015
456+85=541,456,+,85,541
85+698=783,85,+,698,783
434-364=70,434,-,364,70
782-222=560,782,-,222,560
945-187=758,945,-,187,758
800-203=597,800,-,203,597
944+771=1715,944,+,771,1715
906-8=898,906,-,8,898
361-351=10,361,-,351,10
950+890=1840,950,+,890,1840
430+929=1359,430,+,929,1359
551-370=181,551,-,370,181
567+642=1209,567,+,642,1209
159-127=32,159,-,127,32
502-452=50,502,-,452,50
152+221=373,152,+,221,373
40+43=83,40,+,43,83
716+871=1587,716,+,871,1587
437-428=9,437,-,428,9
460-444=16,460,-,444,16
973-344=629,973,-,344,629
17+1=18,17,+,1,18
977-948=29,977,-,948,29
90+284=374,90,+,284,374
173+931=1104,173,+,931,1104
242-228=14,242,-,228,14
588-465=123,588,-,465,123
203+38=241,203,+,38,241
652+922=1574,652,+,922,1574
852+589=1441,852,+,589,1441
850-424=426,850,-,424,426
48+50=98,48,+,50,98
9+554=563,9,+,554,563
936+698=1634,936,+,698,1634
793-160=633,793,-,160,633
819-370=449,819,-,370,449
913-785=128,913,-,785,128
863-684=179,863,-,684,179
801-343=458,801,-,343,458
32+120=152,32,+,120,152
655-438=217,655,-,438,217
146+372=518,146,+,372,518
218+672=890,218,+,672,890
532-529=3,532,-,529,3
125+534=659,125,+,534,659
991+535=1526,991,+,535,1526
931+344=1275,931,+,344,1275
231-182=49,231,-,182,49
361-353=8,361,-,353,8
487+524=1011,487,+,524,1011
398-367=31,398,-,367,31
954+261=1215,954,+,261,1215
40+640=680,40,+,640,680
841-351=490,841,-,351,490
94-93=1,94,-,93,1
6+825=831,6,+,825,831
568+696=1264,568,+,696,1264
71+20=91,71,+,20,91
455-15=440,455,-,15,440
360+392=752,360,+,392,752
777+244=1021,777,+,244,1021
929+843=1772,929,+,843,1772
398+58=456,398,+,58,456
996-427=569,996,-,427,569
482+16=498,482,+,16,498
37+15=52,37,+,15,52
725-547=178,725,-,547,178
501+627=1128,501,+,627,1128
203-140=63,203,-,140,63
915-904=11,915,-,904,11
858+376=1234,858,+,376,1234
678+842=1520,678,+,842,1520
272-261=11,272,-,261,11
374+375=749,374,+,375,749
900-278=622,900,-,278,622
86+461=547,86,+,461,547
787-784=3,787,-,784,3
116-39=77,116,-,39,77
861-366=495,861,-,366,495
496+989=1485,496,+,989,1485
149+150=299,149,+,150,299
797+109=906,797,+,109,906
51+27=78,51,+,27,78
728-492=236,728,-,492,236
220+417=637,220,+,417,637
928+949=1877,928,+,949,1877
9+31=40,9,+,31,40
978-724=254,978,-,724,254
125+256=381,125,+,256,381
488+174=662,488,+,174,662
830+828=1658,830,+,828,1658
290-177=113,290,-,177,113
797-289=508,797,-,289,508
544+112=656,544,+,112,656
855-738=117,855,-,738,117
701-548=153,701,-,548,153
658-572=86,658,-,572,86
799+688=1487,799,+,688,1487
642-347=295,642,-,347,295
433-342=91,433,-,342,91
949-710=239,949,-,710,239
674-668=6,674,-,668,6
793-31=762,793,-,31,762
769+108=877,769,+,108,877
126+567=693,126,+,567,693
805-186=619,805,-,186,619
859-854=5,859,-,854,5
206+109=315,206,+,109,315
670-612=58,670,-,612,58
749-71=678,749,-,71,678
748+515=1263,748,+,515,1263
316+242=558,316,+,242,558
305-116=189,305,-,116,189
941-209=732,941,-,209,732
823-318=505,823,-,318,505
381+577=958,381,+,577,958
379+939=1318,379,+,939,1318
29+26=55,29,+,26,55
473+215=688,473,+,215,688
929-126=803,929,-,126,803
565-485=80,565,-,485,80
728-366=362,728,-,366,362
723-542=181,723,-,542,181
829+885=1714,829,+,885,1714
784+174=958,784,+,174,958
534+620=1154,534,+,620,1154
860-367=493,860,-,367,493
197+500=697,197,+,500,697
109-106=3,109,-,106,3
588-157=431,588,-,157,431
705-324=381,705,-,324,381
719+359=1078,719,+,359,1078
889-34=855,889,-,34,855
421-268=153,421,-,268,153
879-784=95,879,-,784,95
282-186=96,282,-,186,96
80-70=10,80,-,70,10
22+10=32,22,+,10,32
728+920=1648,728,+,920,1648
47-17=30,47,-,17,30
403-137=266,403,-,137,266
596+720=1316,596,+,720,1316
456-453=3,456,-,453,3
296+950=1246,296,+,950,1246
589+822=1411,589,+,822,1411
205-115=90,205,-,115,90
652+743=1395,652,+,743,1395
666-566=100,666,-,566,100
927+492=1419,927,+,492,1419
934-897=37,934,-,897,37
906-292=614,906,-,292,614
209-53=156,209,-,53,156
178+671=849,178,+,671,849
255-185=70,255,-,185,70
39+4=43,39,+,4,43
896+880=1776,896,+,880,1776
921-533=388,921,-,533,388
638-534=104,638,-,534,104
716-174=542,716,-,174,542
682+58=740,682,+,58,740
689+219=908,689,+,219,908
441-402=39,441,-,402,39
921-855=66,921,-,855,66
962-809=153,962,-,809,153
14+84=98,14,+,84,98
5+368=373,5,+,368,373
495+380=875,495,+,380,875
527-495=32,527,-,495,32
570-498=72,570,-,498,72
45+3=48,45,+,3,48
240+563=803,240,+,563,803
756-268=488,756,-,268,488
939-291=648,939,-,291,648
40+28=68,40,+,28,68
980+116=1096,980,+,116,1096
98-72=26,98,-,72,26
370-160=210,370,-,160,210
351+542=893,351,+,542,893
226+729=955,226,+,729,955
334-261=73,334,-,261,73
194-61=133,194,-,61,133
723+319=1042,723,+,319,1042
631+404=1035,631,+,404,1035
965-365=600,965,-,365,600
444+377=821,444,+,377,821
917-591=326,917,-,591,326
839-558=281,839,-,558,281
14+60=74,14,+,60,74
988+248=1236,988,+,248,1236
535+721=1256,535,+,721,1256
480+720=1200,480,+,720,1200
898-545=353,898,-,545,353
400-348=52,400,-,348,52
68+66=134,68,+,66,134
928-369=559,928,-,369,559
534+295=829,534,+,295,829
604+165=769,604,+,165,769
949-553=396,949,-,553,396
816-157=659,816,-,157,659
158+627=785,158,+,627,785
403+370=773,403,+,370,773
804-767=37,804,-,767,37
886+599=1485,886,+,599,1485
419+125=544,419,+,125,544
919-915=4,919,-,915,4
372+677=1049,372,+,677,1049
108+444=552,108,+,444,552
834-129=705,834,-,129,705
693-654=39,693,-,654,39
361+91=452,361,+,91,452
677+838=1515,677,+,838,1515
202-187=15,202,-,187,15
346+486=832,346,+,486,832
508-243=265,508,-,243,265
179+358=537,179,+,358,537
986+44=1030,986,+,44,1030
251+561=812,251,+,561,812
64+30=94,64,+,30,94
237+221=458,237,+,221,458
25+521=546,25,+,521,546
154-8=146,154,-,8,146
68-59=9,68,-,59,9
437+967=1404,437,+,967,1404
53-48=5,53,-,48,5
202+801=1003,202,+,801,1003
749+964=1713,749,+,964,1713
626-111=515,626,-,111,515
833+340=1173,833,+,340,1173
988-942=46,988,-,942,46
333+933=1266,333,+,933,1266
307+41=348,307,+,41,348
421+461=882,421,+,461,882
503-101=402,503,-,101,402
29+7=36,29,+,7,36
570-566=4,570,-,566,4
723+578=1301,723,+,578,1301
469-295=174,469,-,295,174
303-83=220,303,-,83,220
400-273=127,400,-,273,127
697-147=550,697,-,147,550
687-502=185,687,-,502,185
663-526=137,663,-,526,137
27+3=30,27,+,3,30
42+396=438,42,+,396,438
365-330=35,365,-,330,35
42+26=68,42,+,26,68
505-441=64,505,-,441,64
775-141=634,775,-,141,634
815-802=13,815,-,802,13
172+42=214,172,+,42,214
827-233=594,827,-,233,594
168-88=80,168,-,88,80
565+69=634,565,+,69,634
67-10=57,67,-,10,57
821-696=125,821,-,696,125
680-61=619,680,-,61,619
32+50=82,32,+,50,82
884-875=9,884,-,875,9
30+22=52,30,+,22,52
447+216=663,447,+,216,663
570-325=245,570,-,325,245
825-640=185,825,-,640,185
685+95=780,685,+,95,780
33-27=6,33,-,27,6
701-239=462,701,-,239,462
680-305=375,680,-,305,375
209-1=208,209,-,1,208
974-251=723,974,-,251,723
520-492=28,520,-,492,28
575-495=80,575,-,495,80
590+890=1480,590,+,890,1480
382-375=7,382,-,375,7
104+420=524,104,+,420,524
140+285=425,140,+,285,425
26+12=38,26,+,12,38
896-660=236,896,-,660,236
305+586=891,305,+,586,891
169+614=783,169,+,614,783
832-828=4,832,-,828,4
634+681=1315,634,+,681,1315
68+11=79,68,+,11,79
227+356=583,227,+,356,583
816-0=816,816,-,0,816
305+399=704,305,+,399,704
712-23=689,712,-,23,689
925-225=700,925,-,225,700
889+257=1146,889,+,257,1146
935-932=3,935,-,932,3
469-458=11,469,-,458,11
945-375=570,945,-,375,570
908-363=545,908,-,363,545
674-34=640,674,-,34,640
475+977=1452,475,+,977,1452
600-577=23,600,-,577,23
404+39=443,404,+,39,443
596+785=1381,596,+,785,1381
665+201=866,665,+,201,866
770-205=565,770,-,205,565
22+36=58,22,+,36,58
939-355=584,939,-,355,584
59+111=170,59,+,111,170
979+517=1496,979,+,517,1496
728-402=326,728,-,402,326
189+115=304,189,+,115,304
622+621=1243,622,+,621,1243
160+205=365,160,+,205,365
325-323=2,325,-,323,2
624+987=1611,624,+,987,1611
232-224=8,232,-,224,8
327-264=63,327,-,264,63
28+20=48,28,+,20,48
322-9=313,322,-,9,313
975+111=1086,975,+,111,1086
390-107=283,390,-,107,283
964+280=1244,964,+,280,1244
474-338=136,474,-,338,136
899-424=475,899,-,424,475
9+21=30,9,+,21,30
307+997=1304,307,+,997,1304
655-645=10,655,-,645,10
240+265=505,240,+,265,505
969+648=1617,969,+,648,1617
441-214=227,441,-,214,227
118+529=647,118,+,529,647
495-487=8,495,-,487,8
888-587=301,888,-,587,301
126-121=5,126,-,121,5
110+459=569,110,+,459,569
417-177=240,417,-,177,240
94+534=628,94,+,534,628
999-532=467,999,-,532,467
15+67=82,15,+,67,82
869-0=869,869,-,0,869
676+529=1205,676,+,529,1205
391+37=428,391,+,37,428
157-132=25,157,-,132,25
184+975=1159,184,+,975,1159
133+734=867,133,+,734,867
401+199=600,401,+,199,600
669+843=1512,669,+,843,1512
432+976=1408,432,+,976,1408
108+296=404,108,+,296,404
8+79=87,8,+,79,87
172-136=36,172,-,136,36
501+540=1041,501,+,540,1041
29+633=662,29,+,633,662
792-146=646,792,-,146,646
582-530=52,582,-,530,52
767-748=19,767,-,748,19
380+582=962,380,+,582,962
825+533=1358,825,+,533,1358
656-99=557,656,-,99,557
775+182=957,775,+,182,957
619-380=239,619,-,380,239
975+534=1509,975,+,534,1509
589+4=593,589,+,4,593
868+756=1624,868,+,756,1624
209-204=5,209,-,204,5
197+631=828,197,+,631,828
485+432=917,485,+,432,917
839-830=9,839,-,830,9
80-55=25,80,-,55,25
306+583=889,306,+,583,889
455-383=72,455,-,383,72
705+894=1599,705,+,894,1599
422-300=122,422,-,300,122
174+163=337,174,+,163,337
23+74=97,23,+,74,97
42+324=366,42,+,324,366
378-190=188,378,-,190,188
851-243=608,851,-,243,608
552+227=779,552,+,227,779
0+67=67,0,+,67,67
627-522=105,627,-,522,105
653+252=905,653,+,252,905
225+454=679,225,+,454,679
428+857=1285,428,+,857,1285
363+592=955,363,+,592,955
812-808=4,812,-,808,4
139+797=936,139,+,797,936
308+356=664,308,+,356,664
331+777=1108,331,+,777,1108
867+176=1043,867,+,176,1043
234-234=0,234,-,234,0
327-75=252,327,-,75,252
312+639=951,312,+,639,951
257-2=255,257,-,2,255
972-809=163,972,-,809,163
619-20=599,619,-,20,599
435+77=512,435,+,77,512
767+575=1342,767,+,575,1342
341+891=1232,341,+,891,1232
423-54=369,423,-,54,369
759+692=1451,759,+,692,1451
286-53=233,286,-,53,233
970-374=596,970,-,374,596
351-61=290,351,-,61,290
492-38=454,492,-,38,454
492-190=302,492,-,190,302
973-907=66,973,-,907,66
792-25=767,792,-,25,767
585-514=71,585,-,514,71
252-218=34,252,-,218,34
862-87=775,862,-,87,775
208+819=1027,208,+,819,1027
450+435=885,450,+,435,885
193-112=81,193,-,112,81
871+17=888,871,+,17,888
645-517=128,645,-,517,128
975+961=1936,975,+,961,1936
557+478=1035,557,+,478,1035
755-752=3,755,-,752,3
117-104=13,117,-,104,13
276-233=43,276,-,233,43
374+663=1037,374,+,663,1037
916-830=86,916,-,830,86
178+93=271,178,+,93,271
360-300=60,360,-,300,60
258-209=49,258,-,209,49
813-175=638,813,-,175,638
600-347=253,600,-,347,253
961-207=754,961,-,207,754
462-271=191,462,-,271,191
489+940=1429,489,+,940,1429
682-432=250,682,-,432,250
645-26=619,645,-,26,619
827+187=1014,827,+,187,1014
672-579=93,672,-,579,93
632-612=20,632,-,612,20
776-694=82,776,-,694,82
927-210=717,927,-,210,717
402+395=797,402,+,395,797
19+72=91,19,+,72,91
161+705=866,161,+,705,866
742-424=318,742,-,424,318
869-150=719,869,-,150,719
609-174=435,609,-,174,435
68+580=648,68,+,580,648
578+112=690,578,+,112,690
203-196=7,203,-,196,7
28+23=51,28,+,23,51
357-65=292,357,-,65,292
154+88=242,154,+,88,242
821-716=105,821,-,716,105
454+975=1429,454,+,975,1429
255-166=89,255,-,166,89
746-743=3,746,-,743,3
852+577=1429,852,+,577,1429
716-707=9,716,-,707,9
580-387=193,580,-,387,193
819+22=841,819,+,22,841
482-410=72,482,-,410,72
945+230=1175,945,+,230,1175
906+338=1244,906,+,338,1244
213+638=851,213,+,638,851
87+447=534,87,+,447,534
382+130=512,382,+,130,512
500-264=236,500,-,264,236
549-320=229,549,-,320,229
188-102=86,188,-,102,86
563-471=92,563,-,471,92
938+656=1594,938,+,656,1594
562-293=269,562,-,293,269
791+542=1333,791,+,542,1333
930-633=297,930,-,633,297
420+437=857,420,+,437,857
726-300=426,726,-,300,426
784-544=240,784,-,544,240
477+889=1366,477,+,889,1366
112-107=5,112,-,107,5
934+258=1192,934,+,258,1192
999-103=896,999,-,103,896
435-408=27,435,-,408,27
879+27=906,879,+,27,906
103-97=6,103,-,97,6
362-306=56,362,-,306,56
132-94=38,132,-,94,38
491-446=45,491,-,446,45
470-470=0,470,-,470,0
699+733=1432,699,+,733,1432
284+131=415,284,+,131,415
30+588=618,30,+,588,618
764-217=547,764,-,217,547
236+610=846,236,+,610,846
188+328=516,188,+,328,516
472-381=91,472,-,381,91
764+763=1527,764,+,763,1527
779-224=555,779,-,224,555
522+545=1067,522,+,545,1067
67+793=860,67,+,793,860
4+72=76,4,+,72,76
569-241=328,569,-,241,328
82+400=482,82,+,400,482
584+291=875,584,+,291,875
11+13=24,11,+,13,24
288+866=1154,288,+,866,1154
222+817=1039,222,+,817,1039
140+259=399,140,+,259,399
543+490=1033,543,+,490,1033
541+357=898,541,+,357,898
960+877=1837,960,+,877,1837
945-822=123,945,-,822,123
103-34=69,103,-,34,69
584+340=924,584,+,340,924
973+371=1344,973,+,371,1344
916+771=1687,916,+,771,1687
861-17=844,861,-,17,844
810-611=199,810,-,611,199
99+103=202,99,+,103,202
408+945=1353,408,+,945,1353
622+262=884,622,+,262,884
931-881=50,931,-,881,50
826-55=771,826,-,55,771
618+771=1389,618,+,771,1389
497+28=525,497,+,28,525
923+864=1787,923,+,864,1787
63+20=83,63,+,20,83
25+59=84,25,+,59,84
393-271=122,393,-,271,122
584-259=325,584,-,259,325
556-109=447,556,-,109,447
49+790=839,49,+,790,839
507-66=441,507,-,66,441
673-164=509,673,-,164,509
26+792=818,26,+,792,818
705+616=1321,705,+,616,1321
296-271=25,296,-,271,25
578-107=471,578,-,107,471
212+888=1100,212,+,888,1100
484+398=882,484,+,398,882
658+782=1440,658,+,782,1440
756-749=7,756,-,749,7
901+712=1613,901,+,712,1613
40-36=4,40,-,36,4
200+505=705,200,+,505,705
48+34=82,48,+,34,82
710+18=728,710,+,18,728
933-872=61,933,-,872,61
439+344=783,439,+,344,783
649+611=1260,649,+,611,1260
657+487=1144,657,+,487,1144
140-35=105,140,-,35,105
179+539=718,179,+,539,718
58+18=76,58,+,18,76
91-86=5,91,-,86,5
326-108=218,326,-,108,218
901-33=868,901,-,33,868
785-262=523,785,-,262,523
463+486=949,463,+,486,949
254-189=65,254,-,189,65
861-859=2,861,-,859,2
510+380=890,510,+,380,890
763+227=990,763,+,227,990
307-269=38,307,-,269,38
853+629=1482,853,+,629,1482
899+755=1654,899,+,755,1654
637-128=509,637,-,128,509
905-226=679,905,-,226,679
414-265=149,414,-,265,149
717+891=1608,717,+,891,1608
383-82=301,383,-,82,301
687-564=123,687,-,564,123
550-199=351,550,-,199,351
499-269=230,499,-,269,230
105+927=1032,105,+,927,1032
999-921=78,999,-,921,78
628-174=454,628,-,174,454
284+756=1040,284,+,756,1040
930+448=1378,930,+,448,1378
458-257=201,458,-,257,201
446-125=321,446,-,125,321
600+27=627,600,+,27,627
832-411=421,832,-,411,421
717-463=254,717,-,463,254
644+913=1557,644,+,913,1557
538-531=7,538,-,531,7
746+487=1233,746,+,487,1233
593-80=513,593,-,80,513
706-372=334,706,-,372,334
637+855=1492,637,+,855,1492
636+639=1275,636,+,639,1275
699-696=3,699,-,696,3
669-99=570,669,-,99,570
369-321=48,369,-,321,48
572-541=31,572,-,541,31
581+416=997,581,+,416,997
901+752=1653,901,+,752,1653
408+224=632,408,+,224,632
979+225=1204,979,+,225,1204
660+982=1642,660,+,982,1642
